start,end,keyDownNormal,keyDownDel,keyDownCtrl,keyDownNav,mouseDown,fixationSource,fixationTarget
1402647213906,1402647214406,0,0,0,10,0,0,0
1402647214406,1402647214906,0,0,0,1,0,0,1
1402647214906,1402647215406,0,0,0,1,0,0,0
1402647215406,1402647215906,0,0,0,4,0,0,2
1402647215906,1402647216406,0,0,0,4,0,0,0
1402647216406,1402647216906,0,1,0,0,0,0,2
1402647216906,1402647217406,0,6,0,0,0,0,1
1402647217406,1402647217906,0,16,0,0,0,0,1
1402647217906,1402647218406,0,6,0,0,0,0,0
1402647218406,1402647218906,0,3,0,0,0,0,3
1402647218906,1402647219406,0,2,0,0,0,2,0
1402647219406,1402647219906,0,4,0,0,0,1,0
1402647219906,1402647220406,0,5,0,0,0,1,1
1402647220406,1402647220906,0,3,0,0,0,0,1
1402647220906,1402647221406,0,2,0,0,0,0,1
1402647221406,1402647221906,0,0,0,1,0,1,1
1402647221906,1402647222406,0,0,0,2,0,1,0
1402647222406,1402647222906,0,2,0,1,0,0,2
1402647222906,1402647223406,0,1,0,0,0,0,2
1402647223406,1402647223906,0,1,0,0,0,0,1
1402647223906,1402647224406,0,0,0,1,0,0,2
1402647224406,1402647224906,0,0,0,0,0,0,1
1402647224906,1402647225406,0,0,0,0,0,0,2
1402647225406,1402647225906,0,0,0,0,0,2,0
1402647225906,1402647226406,0,0,0,0,0,1,0
1402647226406,1402647226906,0,0,0,0,1,2,0
1402647226906,1402647227406,0,0,0,0,1,1,1
1402647227406,1402647227906,0,0,0,0,0,0,2
1402647227906,1402647228406,0,0,0,0,1,0,0
1402647228406,1402647228906,0,0,0,0,0,0,0
1402647228906,1402647229406,0,0,0,2,0,0,0
1402647229406,1402647229906,0,0,0,0,0,0,2
1402647229906,1402647230406,4,0,0,0,0,0,1
1402647230406,1402647230906,5,0,0,0,0,0,1
1402647230906,1402647231406,2,1,0,0,0,0,1
1402647231406,1402647231906,0,5,0,0,0,0,2
1402647231906,1402647232406,0,2,0,0,0,0,1
1402647232406,1402647232906,0,3,0,0,0,0,0
1402647232906,1402647233406,0,0,0,0,0,0,1
1402647233406,1402647233906,0,0,0,0,1,0,0
1402647233906,1402647234406,1,0,0,0,0,0,0
1402647234406,1402647234906,4,1,0,0,0,0,1
1402647234906,1402647235406,0,0,0,0,0,0,1
1402647235406,1402647235906,0,0,0,0,0,0,1
1402647235906,1402647236406,0,0,0,0,1,0,0
1402647236406,1402647236906,0,0,0,0,0,0,0
1402647236906,1402647237406,0,0,0,0,0,2,0
1402647237406,1402647237906,0,0,0,0,0,1,1
1402647237906,1402647238406,0,0,0,0,0,0,1
1402647238406,1402647238906,0,0,0,0,0,1,1
1402647238906,1402647239406,0,0,0,0,0,2,0
1402647239406,1402647239906,0,0,0,0,0,2,0
1402647239906,1402647240406,0,0,0,0,0,1,0
1402647240406,1402647240906,0,0,0,0,0,0,2
1402647240906,1402647241406,0,0,0,0,0,0,2
1402647241406,1402647241906,0,0,0,0,0,0,0
1402647241906,1402647242406,0,0,0,0,1,1,1
1402647242406,1402647242906,0,0,0,0,0,2,0
1402647242906,1402647243406,0,0,0,1,0,0,1
1402647243406,1402647243906,0,0,0,2,0,0,0
1402647243906,1402647244406,1,0,0,0,0,0,1
1402647244406,1402647244906,4,0,0,0,0,0,0
1402647244906,1402647245406,5,0,0,0,0,0,0
1402647245406,1402647245906,0,2,0,0,0,0,1
1402647245906,1402647246406,0,0,0,3,0,0,2
1402647246406,1402647246906,0,0,0,3,0,0,0
1402647246906,1402647247406,3,0,0,0,0,0,0
1402647247406,1402647247906,4,0,0,0,0,1,1
1402647247906,1402647248406,0,1,0,0,0,2,0
1402647248406,1402647248906,0,11,0,0,0,0,0
1402647248906,1402647249406,0,2,0,0,0,0,1
1402647249406,1402647249906,2,0,0,0,0,0,1
1402647249906,1402647250406,0,0,0,1,0,0,1
1402647250406,1402647250906,0,0,0,7,0,2,0
1402647250906,1402647251406,0,0,0,1,0,0,0
1402647251406,1402647251906,0,0,0,2,0,0,1
1402647251906,1402647252406,5,0,0,0,0,0,1
1402647252406,1402647252906,4,0,0,0,0,0,1
1402647252906,1402647253406,5,0,0,0,0,0,1
1402647253406,1402647253906,5,0,0,0,0,1,1
1402647253906,1402647254406,3,0,0,0,0,1,1
1402647254406,1402647254906,2,1,0,0,0,0,1
1402647254906,1402647255406,4,0,0,0,0,1,0
1402647255406,1402647255906,1,1,0,0,0,1,0
1402647255906,1402647256406,0,4,0,0,0,1,0
1402647256406,1402647256906,0,3,0,0,0,0,2
1402647256906,1402647257406,0,9,0,0,0,0,1
1402647257406,1402647257906,0,4,0,0,0,0,1
1402647257906,1402647258406,0,3,0,0,0,0,0
1402647258406,1402647258906,0,1,0,0,0,1,1
1402647258906,1402647259406,0,0,0,0,0,2,0
1402647259406,1402647259906,0,0,0,0,0,2,0
1402647259906,1402647260406,0,0,0,0,0,2,0
1402647260406,1402647260906,0,0,0,1,0,0,0
1402647260906,1402647261406,0,0,0,8,0,0,0
1402647261406,1402647261906,0,0,0,1,0,0,0
1402647261906,1402647262406,6,0,0,0,0,0,0
1402647262406,1402647262906,4,0,0,0,0,0,1
1402647262906,1402647263406,6,0,0,0,0,0,1
1402647263406,1402647263906,6,0,0,0,0,2,0
1402647263906,1402647264406,0,1,0,0,0,0,1
1402647264406,1402647264906,0,3,0,0,0,0,1
1402647264906,1402647265406,0,3,0,0,0,0,1
1402647265406,1402647265906,5,0,0,0,0,0,0
1402647265906,1402647266406,5,0,0,0,0,0,1
1402647266406,1402647266906,6,0,0,0,0,0,2
1402647266906,1402647267406,6,0,0,0,0,0,1
1402647267406,1402647267906,4,0,0,0,0,0,2
1402647267906,1402647268406,5,0,0,0,0,0,0
1402647268406,1402647268906,6,0,0,0,0,0,0
1402647268906,1402647269406,6,0,0,0,0,0,1
1402647269406,1402647269906,2,0,0,0,0,0,1
1402647269906,1402647270406,0,0,0,0,0,0,1
1402647270406,1402647270906,0,0,0,0,0,0,0
1402647270906,1402647271406,0,0,0,0,1,0,1
1402647271406,1402647271906,0,0,0,0,0,0,1
1402647271906,1402647272406,0,0,0,0,0,0,1
1402647272406,1402647272906,0,1,0,1,0,0,0
1402647272906,1402647273406,0,2,0,1,0,0,0
1402647273406,1402647273906,0,1,0,0,0,0,0
1402647273906,1402647274406,0,0,0,0,0,0,1
1402647274406,1402647274906,0,0,0,0,1,0,0
1402647274906,1402647275406,0,0,0,0,0,0,0
1402647275406,1402647275906,0,0,0,0,0,0,0
1402647275906,1402647276406,0,0,0,0,0,0,1
1402647276406,1402647276906,0,0,0,0,0,2,0
1402647276906,1402647277406,0,0,0,0,0,0,1
1402647277406,1402647277906,0,0,0,0,0,0,1
1402647277906,1402647278406,2,0,0,0,0,0,0
1402647278406,1402647278906,0,0,0,1,0,0,0
1402647278906,1402647279406,0,0,0,3,0,0,0
1402647279406,1402647279906,3,0,0,1,0,0,0
1402647279906,1402647280406,4,0,0,0,0,0,1
1402647280406,1402647280906,3,1,0,0,0,0,1
1402647280906,1402647281406,0,1,0,1,0,0,1
1402647281406,1402647281906,0,0,0,4,0,0,0
1402647281906,1402647282406,0,0,0,2,0,0,0
1402647282406,1402647282906,0,1,0,0,0,0,0
1402647282906,1402647283406,0,0,0,0,0,0,1
